"racegroup","absm","qval","estimate_aggregated","conf.low_aggregated","conf.high_aggregated","estimate_robust","conf.low_robust","conf.high_robust","estimate_multilevel","conf.low_multilevel","conf.high_multilevel","estimate_BYM","conf.low_BYM","conf.high_BYM"
"Non-Hispanic White","apINDPOV","0-4.9%",1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"Non-Hispanic White","apINDPOV","5-9.9%",1.27881907133857,0.932527389904925,1.75370529050732,1.27961645926071,1.10469349763047,1.4822376399636,1.19901494207261,1.06942572257439,1.34430732398376,1.2542959940398,1.01976180810991,1.54228420656417
"Non-Hispanic White","apINDPOV","10-19.9%",1.99063712375718,1.4742540126947,2.68789240141676,1.9822040136261,1.72786752771822,2.2739780038717,1.62978380932694,1.44713637285979,1.83548372838915,1.86754268033535,1.51930252931092,2.29596652372979
"Non-Hispanic White","apINDPOV","20-100%",2.48926877050221,1.80533327842656,3.43230753337586,2.40012878971895,2.04541145272363,2.8163615685084,1.86904861950382,1.64477328021883,2.12390533338697,2.07289822664112,1.66490867083566,2.58070314661806
"Black","apINDPOV","0-4.9%",1.28928740832532,0.460636078950352,3.6086231566012,1.29478087629541,0.888871182018738,1.88605227791598,1.18617304492877,0.843327786462367,1.66839811885929,1.14482983149085,0.793010769292567,1.65260193934041
"Black","apINDPOV","5-9.9%",1.68670806778249,0.990422126588391,2.87249651390804,1.67763183280687,1.33976882817779,2.10069715554947,1.41859906358581,1.1786025223286,1.70746563415673,1.41549211398375,1.09131256425505,1.83450777723802
"Black","apINDPOV","10-19.9%",1.75653292725462,1.22584453021689,2.51696511953583,1.7890229028729,1.4853975180982,2.15471138736088,1.37547282869887,1.19530014863412,1.58280370386534,1.53898548045747,1.23054696435612,1.92400172988952
"Black","apINDPOV","20-100%",2.3039912026208,1.68577490440002,3.14892305485077,2.34336855579058,2.03028109403895,2.70473689795521,1.53414079334377,1.34098107850547,1.75512392495838,1.89636548775156,1.51578826330033,2.36952109819959
"Non-Hispanic White","qICEwnhinc","(0.464,0.747]",1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"Non-Hispanic White","qICEwnhinc","(0.358,0.464]",1.3741314269351,0.986448104466322,1.91417791766375,1.38723748648275,1.18370597242817,1.62576508755408,1.35238074575439,1.21050126784273,1.51088952161662,1.32481276013526,1.10763929132129,1.58461690276902
"Non-Hispanic White","qICEwnhinc","(0.238,0.358]",1.54582906317901,1.10812033530306,2.1564332107626,1.56311733485179,1.34405931593301,1.81787795638918,1.58090812946185,1.40580709613215,1.77781896298212,1.5691214540975,1.30520251972049,1.88626629909601
"Non-Hispanic White","qICEwnhinc","(0.0557,0.238]",2.09457103769716,1.54855889537745,2.83310363271034,2.10197818607804,1.82889415254783,2.41583816569854,2.00513627100097,1.78976512364251,2.24642407664143,1.97599834396437,1.67336767027133,2.33344362859526
"Non-Hispanic White","qICEwnhinc","[-0.711,0.0557]",3.26775442109462,2.4323909806843,4.39000927128063,3.20808115762333,2.77468852718802,3.70916757432515,2.73586657472705,2.43554439739862,3.07322088757788,2.98007697796332,2.52157926426802,3.52290806183827
"Black","qICEwnhinc","(0.464,0.747]",2.02404884764391,0.64932326916576,6.30929759057013,1.90138048638116,1.25949853043029,2.87038663932062,2.01680624327456,1.4124935810646,2.87966435914388,1.8051820409073,1.27705597778388,2.55140952616766
"Black","qICEwnhinc","(0.358,0.464]",2.34739217368711,1.08140916919256,5.09543489556478,2.43123568056728,1.74974761103369,3.37814830961336,2.36486765419437,1.82482281978005,3.06473536018629,2.32093358758498,1.72396899177234,3.12437988639675
"Black","qICEwnhinc","(0.238,0.358]",1.90461456544443,0.971934416434231,3.7323059885168,1.8864581914153,1.44006861757771,2.47121870758066,1.90727272918539,1.52133131202712,2.39112232472702,1.97768459588398,1.51023836290767,2.59004738226637
"Black","qICEwnhinc","(0.0557,0.238]",1.95210198721827,1.29349756604964,2.94604510168462,1.99197687831697,1.62490282714834,2.44197487840742,1.91628728453765,1.650913830996,2.22431776143353,1.9174640127937,1.58031854449281,2.32628049996758
"Black","qICEwnhinc","[-0.711,0.0557]",2.37425127355445,1.77428929984905,3.17708567055809,2.41487008445352,2.09147049911706,2.78827625216346,1.91083935331611,1.68766485091552,2.16352614809794,2.19080344841738,1.84567115525415,2.59894850386241
"Non-Hispanic White","qsvi","[0.0003,0.125]",1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"Non-Hispanic White","qsvi","(0.125,0.246]",1.11360188431904,0.776941144215583,1.59614298456411,1.11109340773315,0.936563839550143,1.31814672804477,1.17668384324332,1.0430632262161,1.32742180162243,1.10343050634059,0.918033111077131,1.32556578581171
"Non-Hispanic White","qsvi","(0.246,0.407]",1.2345735752978,0.890578328573929,1.71144060429162,1.25575318314454,1.06604764941951,1.47921723558634,1.47714482447115,1.32098816648987,1.65176107387836,1.31673636813606,1.10736487526743,1.56460537263524
"Non-Hispanic White","qsvi","(0.407,0.683]",1.68404314908487,1.22788926236881,2.30965561382021,1.69987788430119,1.45947961818098,1.97987336413626,1.68745319179427,1.50994963898843,1.88582334203166,1.63141615966264,1.38194926487419,1.92481652328265
"Non-Hispanic White","qsvi","(0.683,1]",3.00499918240037,2.19949013807568,4.10550605792996,3.0348700309169,2.58193616155317,3.56725942403511,2.66327911324668,2.36424242042815,3.00013889175184,3.16064820619616,2.67228632129813,3.73989781837596
"Black","qsvi","[0.0003,0.125]",1.52029771735902,0.432916575224981,5.33891581352805,1.5369033315047,0.941707840677492,2.50828521156935,1.61083015346406,1.06913844309692,2.42697641270189,1.49152541748173,1.00870872115032,2.2051022110315
"Black","qsvi","(0.125,0.246]",1.51674288043403,0.687541565941392,3.34599256147872,1.50778058913927,1.10271846457911,2.06163438630085,1.48613675730777,1.14218418337546,1.93366577262019,1.39231330001308,1.03113148075597,1.87912053166109
"Black","qsvi","(0.246,0.407]",1.72127336290775,0.912098243594465,3.24831454359545,1.7250136984293,1.31417404656962,2.26429084300979,1.95155799806675,1.5816207750607,2.40802263088138,1.74038796147414,1.35585970904873,2.23293598788901
"Black","qsvi","(0.407,0.683]",1.7686557831245,1.19105751261618,2.62635787612701,1.81605394777078,1.49302098170552,2.20897896387656,1.82264579186383,1.58534172003382,2.09547105246688,1.82260234581663,1.51283570699743,2.19443873108239
"Black","qsvi","(0.683,1]",2.04842659870271,1.50508126265509,2.78792357222664,2.09115036603208,1.78654160385992,2.44769550505186,1.71884612310572,1.51594247142085,1.9489077261266,2.08462793313696,1.75594234083326,2.47425619369299
